Project Space,TYPE to be updated in CCHQ,Self-starter ,Pro-Bono?
aarong,self service,no,Yes
mc-inscale,self service,no,Discounted
cha-pcori-14,self service,yes,Discounted
success,self service,no,Discounted
lesothosms,self service,yes,Discounted
prep,self service,no,Discounted
pradan-mis,self service,no,Discounted
pradan-mis-dev,self service,no,Discounted
sledume-training,self service,yes,Yes
sanlandcase,self service,yes,Yes
ecoenergy,contracted,no,Yes
greenchar,contracted,no,Yes
charlytest,self service,no,Yes
doctorlocator,self service,yes,Yes
hla-b,self service,no,Yes
idpbaseline,self service,yes,Yes
tania-demo,self service,no,Yes
guinea-contact-tracing,self service,no,Yes
motech-integration2,self service,no,Yes
sci-ktwg,self service,no,Yes
cypd-micad,self service,yes,Yes
puami-tsf-mnch-myanmar,self service,yes,Yes
sac,self service,no,No
dmht2558,self service,yes,No
infomovel,contracted,no,No
digitalgreen-ethiopia,contracted,no,No
ewsghana-test3,contracted,no,No
ilsgateway-test3,contracted,no,No
ssqh-nord-test,contracted,no,No
ssqh-nord-test,contracted,no,No
blantyre-catholic-health,self service,yes,No
nphcda360,self service,yes,No
airs,contracted,no,No
anova,self service,no,No
chass-smt-mmia,self service,no,No
colalife,contracted,no,No
eficor,contracted,no,No
fepromas,contracted,no,No
icap-tb,self service,no,No
jhccpmz,self service,no,No
mc-inscale,contracted,no,No
pkh-gizi,self service,yes,No
rainforestalliance,contracted,no,No
ridwanfauzi,self service,yes,No
tns-sa,self service,no,No
vaxtrac-android,self service,no,No
vaxtrac-nepal,self service,no,No
burundipmtct,self service,yes,No
chamkol,self service,yes,No
data-practice,self service,no,No
evin,self service,yes,No
fhi360,self service,yes,No
harvest,self service,yes,No
hdss,self service,yes,No
ict-women-health,self service,yes,No
ictwomenhealth,self service,yes,No
image-sa,self service,no,No
irc-vaccine,self service,no,No
manhepanc,self service,no,No
miralbwsurvey,self service,yes,No
moi,self service,no,No
oafrwanda,self service,yes,No
oneacre,self service,yes,No
oneacrefundsi,self service,yes,No
pact-myanmar,self service,yes,No
pasmo-nicaragua-dmg,self service,yes,No
spatialrepellents,self service,yes,No
ss-farms,self service,yes,No
test77,self service,no,No
unicef-ed-ghana,contracted,no,No
walimu,self service,no,No
wits-ca,self service,no,No
wspkenya,self service,yes,No
itech-etc3-test,self service,no,No
a5288-study,Contracted,,No
bihar-issuetracker,Contracted,,No
hsph-learning-sites,Contracted,,No
regis-er,Contracted,,No
remind-bm,Contracted,,No
ssqh-nord,Contracted,,No
wv-niger-cmam,Contracted,,No
wvburundi,Contracted,,No
wvchad,Contracted,,No
africare-senegal,Contracted,,No
airsmadagascar,Contracted,,No
ccdt,Contracted,,No
crs-irras,Contracted,,No
fgh-scip,Contracted,,No
fri,Contracted,,No
fri-testing,Contracted,,No
gain-coba,Contracted,,No
gbvapp,Contracted,,No
grenada2014,Contracted,,No
lift-test,Contracted,,No
mawa,Contracted,,No
nsf-lifefirst,Contracted,,No
nyu-corrections-study,Contracted,,No
pce-fepromas,Contracted,,No
sef,Contracted,,No
special-olympics,Contracted,,No
stjohns-soukhya,Contracted,,No
succeed,Contracted,,No
teba-hbc,Contracted,,No
ucsf-testing-space,Contracted,,No
union-jharkhand,Contracted,,No
up-nrhm,Contracted,,No
wisepill-uganda,Contracted,,No
testing-ipm-senegal,Contracted,,No
gsid,Contracted,,Yes
mgh-cgh-uganda,Contracted,,Yes
mustmgh,Contracted,,Yes
care-ihapc-live,NOT_SET,,No
commcaremotech,NOT_SET,,No
commcaremotechtest,NOT_SET,,No
hsph-test,NOT_SET,,No
testing,NOT_SET,,Yes
aed-hth,NOT_SET,,Yes
kouzindlo,NOT_SET,,Yes
hakai-test,Self-service,,No
hrt,Self-service,,No
hrt-reingenieria,Self-service,,No
hrt2,Self-service,,No
kawok-alta-verapaz,Self-service,,No
kawok-huehuetenango,Self-service,,No
kawok-prueba,Self-service,,No
kawok3-desarrollo,Self-service,,No
kawokdemo,Self-service,,No
kawokmonitoreo,Self-service,,No
kawoq,Self-service,,No
tula,Self-service,,No
crs-india-gbv,Self-service,,No
chittoor,Self-service,,Yes
kuap,Self-service,,Yes
waaf,Self-service,,Yes
captb,Self-service,,Yes
grassroots,Self-service,,Yes
caris-test,Self-service,,Yes
goal-disaster-resilience,Self-service,,Yes
akeman,Self-service,,Yes
akeman-stress-log,Self-service,,Yes
ebola-response-test-space,Self-service,,Yes
m528,Self-service,,Yes
keiskamma,Self-service,,Yes